# Constructed from biom file
#OTU ID	SRR32936402	SRR32936389	SRR32938709	SRR32936396	SRR32936412	SRR32938731	SRR32938711	SRR32938723	SRR32938694	SRR32938705	SRR32936377	SRR32936401	SRR32936410	SRR32936379	SRR32938685	SRR32936376	SRR32938686	SRR32936420	SRR32936403	SRR32936388	SRR32938688	SRR32936422	SRR32936405	SRR32936390	SRR32936421	SRR32938721	SRR32938712	SRR32938684	SRR32938702	SRR32936383	SRR32936417	SRR32938693	SRR32938725	SRR32936415	SRR32936406	SRR32938730	SRR32936385	SRR32938728	SRR32938733	SRR32938713	SRR32936394	SRR32936416	SRR32938720	SRR32938704	SRR32938717	SRR32938722	SRR32936381	SRR32936408	SRR32936395	SRR32936407	SRR32938690	SRR32936384	SRR32938703	SRR32938734	SRR32938729	SRR32936414	SRR32936423	SRR32938707	SRR32938708	SRR32936393	SRR32938699	SRR32938689	SRR32938732	SRR32936382	SRR32938724	SRR32938718	SRR32936404	SRR32938687	SRR32936378	SRR32938715	SRR32938696	SRR32936409	SRR32938698	SRR32936386	SRR32936419	SRR32938706	SRR32936391	SRR32938701	SRR32936424	SRR32936418	SRR32938726	SRR32938710	SRR32936413	SRR32938697	SRR32936380	SRR32938714	SRR32938692	SRR32938691	SRR32938716	SRR32936392	SRR32938695	SRR32936387	SRR32938727	SRR32936398	SRR32936425	SRR32936411	SRR32936397	SRR32938719	SRR32936399	SRR32938700	SRR32936400
afc7d633b31eacbcd06f9bd00fc92aba	9477.0	0.0	0.0	12181.0	17581.0	0.0	0.0	0.0	0.0	0.0	15932.0	3944.0	0.0	14307.0	1949.0	10478.0	10544.0	9312.0	4548.0	4821.0	270.0	4781.0	2844.0	8831.0	8310.0	0.0	0.0	0.0	0.0	7509.0	654.0	0.0	0.0	2685.0	0.0	0.0	14780.0	2023.0	0.0	0.0	20940.0	7808.0	0.0	0.0	3504.0	0.0	5411.0	12508.0	0.0	9735.0	0.0	8290.0	3094.0	2225.0	0.0	3337.0	1874.0	2961.0	0.0	10011.0	0.0	2673.0	0.0	5521.0	0.0	0.0	15212.0	0.0	756.0	0.0	0.0	4264.0	0.0	699.0	12205.0	1154.0	1269.0	4526.0	7824.0	9410.0	0.0	0.0	5657.0	1807.0	1187.0	1959.0	91.0	387.0	0.0	8417.0	0.0	6708.0	653.0	20702.0	1372.0	0.0	8089.0	0.0	1573.0	0.0	3862.0
d08c784d1836f43726d1162eadd9c4a4	9235.0	2047.0	234.0	338.0	1706.0	0.0	160.0	0.0	0.0	211.0	0.0	2030.0	150.0	168.0	0.0	275.0	10.0	0.0	874.0	22.0	10083.0	2356.0	9.0	1507.0	684.0	0.0	13009.0	0.0	263.0	262.0	403.0	17.0	102.0	117.0	249.0	7063.0	0.0	0.0	608.0	31.0	0.0	331.0	3718.0	26.0	0.0	266.0	4442.0	0.0	18.0	572.0	1003.0	12.0	12.0	105.0	3967.0	297.0	37.0	202.0	14560.0	472.0	151.0	488.0	6223.0	12.0	478.0	51.0	41.0	1930.0	4600.0	130.0	26.0	0.0	415.0	170.0	40.0	2174.0	11.0	443.0	208.0	862.0	1412.0	5727.0	54.0	0.0	466.0	32.0	456.0	226.0	765.0	159.0	0.0	118.0	1187.0	121.0	1576.0	1645.0	1073.0	1311.0	2249.0	8.0	110.0
58844abe1585eaed470c626af5e293c2	8983.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	740.0	0.0	505.0	0.0	0.0	0.0	0.0	3.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	1809.0	1886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1194.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1701.0	0.0	0.0	0.0	0.0	2449.0	0.0	0.0	0.0	7693.0	0.0	0.0
b9678f89d81e366818a5f4e9a4dbcbf6	8878.0	0.0	811.0	7772.0	6106.0	166.0	0.0	0.0	751.0	0.0	3393.0	2284.0	2298.0	5136.0	472.0	17673.0	15084.0	3669.0	876.0	8191.0	0.0	1160.0	3293.0	5215.0	0.0	0.0	341.0	722.0	465.0	3665.0	157.0	543.0	116.0	763.0	750.0	0.0	6010.0	166.0	269.0	0.0	14899.0	4742.0	0.0	1632.0	3503.0	0.0	1203.0	3912.0	7184.0	3334.0	0.0	6300.0	0.0	6305.0	318.0	0.0	2765.0	2383.0	0.0	5571.0	330.0	616.0	2262.0	1428.0	0.0	42.0	3895.0	0.0	0.0	0.0	1963.0	4440.0	0.0	0.0	12457.0	0.0	1539.0	4757.0	2929.0	6806.0	0.0	0.0	1479.0	6327.0	0.0	0.0	0.0	844.0	0.0	2405.0	0.0	7408.0	381.0	5443.0	10161.0	107.0	1288.0	205.0	0.0	0.0	1578.0
2f2af02b1b3b9b47876e1c1f5c41d976	7642.0	945.0	7265.0	19553.0	26832.0	5831.0	19971.0	3385.0	6312.0	2031.0	27849.0	7320.0	14587.0	18199.0	8208.0	28016.0	15285.0	14886.0	3254.0	6934.0	3725.0	6590.0	16298.0	5591.0	13592.0	8466.0	8894.0	2142.0	16899.0	1231.0	252.0	1920.0	321.0	1995.0	6850.0	174.0	19004.0	15947.0	12076.0	2089.0	14704.0	3927.0	3767.0	346.0	4478.0	73.0	4456.0	8403.0	6282.0	15566.0	1205.0	30883.0	148949.0	13237.0	2525.0	6702.0	10122.0	8193.0	738.0	7675.0	8112.0	5259.0	2477.0	11772.0	1230.0	8176.0	8749.0	7759.0	11647.0	217.0	14547.0	15756.0	299.0	1524.0	16132.0	1942.0	2857.0	4982.0	7267.0	15114.0	4606.0	365.0	7616.0	8364.0	2771.0	6993.0	1150.0	523.0	1567.0	5048.0	0.0	18947.0	1762.0	13963.0	46971.0	963.0	9399.0	12392.0	12455.0	1427.0	37171.0
3307f2605d463abcc42024cdfef4c1fe	7406.0	9364.0	11794.0	5817.0	6933.0	12798.0	53675.0	447.0	33311.0	12719.0	11021.0	13601.0	13718.0	10690.0	15556.0	4661.0	4609.0	6372.0	14997.0	3558.0	32442.0	16174.0	9792.0	18095.0	9216.0	69681.0	49994.0	1330.0	31491.0	3547.0	13520.0	924.0	8231.0	15986.0	8125.0	27770.0	6352.0	16997.0	14400.0	17554.0	5134.0	9148.0	17906.0	3530.0	45709.0	17496.0	4821.0	11892.0	6147.0	20193.0	19566.0	860.0	28569.0	3945.0	17320.0	12340.0	26755.0	4608.0	9246.0	5481.0	37684.0	82334.0	11538.0	0.0	42980.0	36467.0	13565.0	11458.0	34206.0	9048.0	25761.0	13927.0	18225.0	16028.0	1040.0	84096.0	19439.0	98385.0	5434.0	8846.0	49123.0	20955.0	9944.0	22610.0	4112.0	129156.0	81208.0	7366.0	35324.0	6048.0	27979.0	15477.0	54399.0	166.0	3818.0	5114.0	13474.0	34244.0	6094.0	74191.0	3562.0
0f36313fefd8246ebc2d63bd1b70b6f4	5917.0	0.0	4946.0	11248.0	17034.0	357.0	0.0	621.0	255.0	223.0	3505.0	15642.0	9085.0	16512.0	284.0	4412.0	723.0	3523.0	8726.0	2723.0	1393.0	9892.0	370.0	462.0	9216.0	710.0	385.0	675.0	1981.0	4331.0	1769.0	66.0	0.0	8350.0	830.0	177.0	5119.0	658.0	940.0	0.0	8241.0	11654.0	397.0	41.0	53.0	0.0	2288.0	0.0	0.0	5742.0	494.0	416.0	855.0	0.0	3638.0	11505.0	11457.0	2112.0	570.0	6899.0	266.0	9098.0	536.0	8081.0	296.0	290.0	5729.0	3440.0	1595.0	0.0	29.0	3101.0	0.0	10895.0	916.0	1926.0	5540.0	2160.0	12463.0	16371.0	55.0	0.0	10881.0	1374.0	5825.0	994.0	1203.0	963.0	200.0	6720.0	2222.0	0.0	1273.0	7888.0	744.0	9206.0	12226.0	3001.0	8333.0	612.0	16223.0
37e7e601cfd657b615591af65747ff4d	4881.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	4644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	5.0	3008.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e99ef6d33371880af23ceea3cfd58e56	4300.0	782.0	574.0	408.0	2117.0	0.0	124.0	0.0	509.0	31.0	760.0	2136.0	3763.0	2158.0	66.0	9.0	8.0	1545.0	3548.0	627.0	126.0	4137.0	968.0	242.0	1057.0	337.0	200.0	19.0	557.0	2671.0	106.0	8.0	23.0	1957.0	43.0	33.0	7666.0	230.0	125.0	37.0	1225.0	528.0	34.0	178.0	182.0	22.0	964.0	1244.0	451.0	3549.0	150.0	28.0	47.0	0.0	318.0	441.0	775.0	652.0	10.0	1974.0	41.0	383.0	2.0	4250.0	87.0	87.0	4645.0	320.0	441.0	27.0	195.0	1840.0	137.0	1566.0	14.0	128.0	2253.0	399.0	2470.0	554.0	22.0	18.0	4620.0	188.0	0.0	683.0	6.0	290.0	173.0	1780.0	220.0	171.0	0.0	2413.0	45.0	1333.0	1093.0	782.0	22.0	207.0	3514.0
bccbf6a32db96f7b285bb310e4939979	3838.0	164.0	1870.0	1771.0	2359.0	78.0	0.0	947.0	52.0	97.0	1109.0	1741.0	8902.0	1549.0	175.0	65.0	975.0	1008.0	2561.0	4610.0	207.0	1442.0	0.0	325.0	5393.0	167.0	290.0	5.0	1966.0	2635.0	635.0	0.0	15.0	748.0	302.0	25.0	1401.0	265.0	228.0	14.0	4520.0	711.0	30.0	288.0	196.0	0.0	1333.0	3076.0	512.0	1047.0	230.0	499.0	173.0	0.0	1624.0	630.0	965.0	2218.0	0.0	6464.0	42.0	1551.0	0.0	646.0	50.0	121.0	5214.0	625.0	182.0	0.0	34.0	1819.0	508.0	453.0	1656.0	170.0	887.0	1461.0	2845.0	53.0	9.0	39.0	1527.0	812.0	436.0	657.0	127.0	646.0	0.0	6278.0	0.0	1255.0	17.0	8374.0	1903.0	2750.0	1723.0	2372.0	1741.0	169.0	4913.0
