,SRR32936402,SRR32936389,SRR32938709,SRR32936396,SRR32936412,SRR32938731,SRR32938711,SRR32938723,SRR32938694,SRR32938705,SRR32936377,SRR32936401,SRR32936410,SRR32936379,SRR32938685,SRR32936376,SRR32938686,SRR32936420,SRR32936403,SRR32936388,SRR32938688,SRR32936422,SRR32936405,SRR32936390,SRR32936421,SRR32938721,SRR32938712,SRR32938684,SRR32938702,SRR32936383,SRR32936417,SRR32938693,SRR32938725,SRR32936415,SRR32936406,SRR32938730,SRR32936385,SRR32938728,SRR32938733,SRR32938713,SRR32936394,SRR32936416,SRR32938720,SRR32938704,SRR32938717,SRR32938722,SRR32936381,SRR32936408,SRR32936395,SRR32936407,SRR32938690,SRR32936384,SRR32938703,SRR32938734,SRR32938729,SRR32936414,SRR32936423,SRR32938707,SRR32938708,SRR32936393,SRR32938699,SRR32938689,SRR32938732,SRR32936382,SRR32938724,SRR32938718,SRR32936404,SRR32938687,SRR32936378,SRR32938715,SRR32938696,SRR32936409,SRR32938698,SRR32936386,SRR32936419,SRR32938706,SRR32936391,SRR32938701,SRR32936424,SRR32936418,SRR32938726,SRR32938710,SRR32936413,SRR32938697,SRR32936380,SRR32938714,SRR32938692,SRR32938691,SRR32938716,SRR32936392,SRR32938695,SRR32936387,SRR32938727,SRR32936398,SRR32936425,SRR32936411,SRR32936397,SRR32938719,SRR32936399,SRR32938700,SRR32936400
g__Capnocytophaga,558.0,5166.0,130.0,514.0,382.0,21739.0,327.0,1259.0,3289.0,2829.0,446.0,905.0,3882.0,269.0,989.0,59.0,293.0,255.0,2955.0,113.0,4396.0,3163.0,651.0,2239.0,212.0,327.0,2793.0,455.0,763.0,450.0,2400.0,386.0,1326.0,710.0,3603.0,9041.0,676.0,274.0,2885.0,3179.0,63.0,777.0,3526.0,9657.0,245.0,10618.0,2321.0,887.0,2254.0,2179.0,16333.0,932.0,30.0,207.0,8236.0,1894.0,1649.0,587.0,2439.0,1757.0,6903.0,505.0,103.0,5864.0,11100.0,11414.0,265.0,1010.0,1555.0,3675.0,1455.0,1698.0,1537.0,5017.0,139.0,403.0,2172.0,769.0,950.0,208.0,837.0,7515.0,316.0,4796.0,1703.0,179.0,1157.0,3920.0,1595.0,1059.0,4047.0,669.0,91.0,87.0,7330.0,4849.0,975.0,10513.0,668.0,1484.0,186.0
g__Cardiobacterium,95.0,1043.0,84.0,156.0,113.0,1108.0,129.0,11.0,915.0,1501.0,194.0,119.0,181.0,23.0,231.0,8.0,0.0,30.0,432.0,47.0,1323.0,344.0,156.0,757.0,46.0,142.0,585.0,170.0,187.0,112.0,81.0,17.0,186.0,30.0,288.0,3419.0,59.0,61.0,913.0,1153.0,0.0,82.0,1089.0,54.0,42.0,3592.0,566.0,92.0,103.0,347.0,316.0,138.0,2.0,16.0,2144.0,113.0,485.0,733.0,1286.0,38.0,309.0,72.0,10.0,68.0,2126.0,2836.0,36.0,203.0,231.0,1127.0,421.0,380.0,323.0,130.0,8.0,88.0,351.0,102.0,258.0,18.0,43.0,1978.0,60.0,476.0,196.0,15.0,85.0,982.0,177.0,104.0,1352.0,44.0,17.0,52.0,491.0,311.0,255.0,847.0,262.0,213.0,89.0
g__Catonella,31.0,42.0,23.0,48.0,143.0,19.0,418.0,83.0,17.0,9.0,26.0,55.0,33.0,70.0,13.0,0.0,2.0,35.0,49.0,27.0,39.0,173.0,39.0,173.0,63.0,16.0,6.0,16.0,21.0,19.0,30.0,3.0,26.0,30.0,195.0,182.0,36.0,26.0,58.0,6.0,16.0,60.0,4.0,92.0,9.0,127.0,47.0,6.0,143.0,149.0,48.0,19.0,5.0,0.0,25.0,48.0,58.0,23.0,29.0,20.0,23.0,33.0,0.0,57.0,116.0,10.0,70.0,22.0,33.0,4.0,7.0,70.0,152.0,244.0,9.0,7.0,87.0,11.0,30.0,41.0,4.0,10.0,131.0,23.0,74.0,15.0,38.0,214.0,66.0,36.0,54.0,91.0,55.0,113.0,3.0,28.0,48.0,15.0,51.0,20.0,39.0
g__Centipeda,0.0,1367.0,0.0,55.0,11.0,191.0,14.0,411.0,10.0,57.0,141.0,7.0,167.0,6.0,145.0,0.0,17.0,70.0,285.0,28.0,126.0,126.0,18.0,0.0,20.0,12.0,6.0,39.0,100.0,79.0,31.0,24.0,187.0,81.0,142.0,331.0,94.0,36.0,381.0,70.0,1.0,109.0,10.0,31.0,19.0,1430.0,836.0,13.0,10.0,76.0,1104.0,108.0,3.0,29.0,578.0,199.0,72.0,113.0,26.0,22.0,489.0,10.0,0.0,23.0,889.0,3.0,12.0,50.0,191.0,536.0,5.0,23.0,1292.0,209.0,0.0,14.0,0.0,16.0,66.0,0.0,19.0,227.0,65.0,104.0,190.0,1.0,124.0,280.0,24.0,133.0,148.0,11.0,0.0,25.0,546.0,691.0,97.0,618.0,17.0,1.0,7.0
g__Chloroplast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Clostridia_UCG_014,34.0,21.0,127.0,113.0,135.0,11.0,16.0,16.0,66.0,6.0,28.0,62.0,196.0,155.0,17.0,7.0,4.0,4.0,109.0,119.0,5.0,308.0,44.0,37.0,82.0,28.0,6.0,3.0,27.0,0.0,62.0,3.0,2.0,42.0,28.0,0.0,24.0,2.0,23.0,6.0,3.0,28.0,5.0,0.0,29.0,9.0,11.0,188.0,2.0,73.0,2.0,38.0,0.0,0.0,26.0,66.0,140.0,0.0,7.0,87.0,8.0,91.0,4.0,0.0,8.0,10.0,261.0,38.0,14.0,0.0,41.0,160.0,3.0,110.0,4.0,9.0,116.0,32.0,142.0,4.0,5.0,57.0,249.0,21.0,123.0,18.0,53.0,0.0,13.0,101.0,18.0,3.0,0.0,3.0,2.0,20.0,35.0,60.0,112.0,33.0,215.0
g__Clostridia_vadinBB60_group,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,61.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
g__Comamonas,0.0,2992.0,2.0,14.0,0.0,7.0,7.0,15.0,0.0,6.0,20.0,11.0,10.0,5.0,11.0,0.0,0.0,0.0,149.0,3.0,8.0,198.0,11.0,70.0,6.0,0.0,2.0,5.0,2.0,7.0,21.0,0.0,5.0,2.0,5.0,32.0,2.0,0.0,14.0,10.0,4.0,9.0,2.0,0.0,10.0,51.0,0.0,5.0,0.0,146.0,44.0,0.0,0.0,0.0,3.0,44.0,38.0,32.0,67.0,15.0,4.0,6.0,0.0,0.0,2.0,12.0,0.0,0.0,4.0,5.0,0.0,111.0,384.0,16.0,0.0,11.0,11.0,17.0,42.0,0.0,4.0,0.0,6.0,3.0,39.0,2.0,57.0,2.0,12.0,13.0,0.0,4.0,0.0,3.0,0.0,374.0,59.0,3.0,31.0,5.0,0.0
g__Corynebacterium,385.0,1885.0,160.0,111.0,127.0,16451.0,43.0,25.0,8379.0,2258.0,490.0,674.0,1159.0,306.0,155.0,17.0,20.0,147.0,679.0,79.0,871.0,1136.0,853.0,451.0,143.0,1629.0,1340.0,1916.0,446.0,46.0,411.0,36.0,583.0,167.0,411.0,1396.0,278.0,373.0,769.0,3970.0,32.0,704.0,225.0,10999.0,151.0,3099.0,723.0,347.0,2602.0,665.0,8778.0,298.0,13.0,463.0,3023.0,306.0,1058.0,84.0,2291.0,84.0,3671.0,3200.0,266.0,463.0,4766.0,285.0,277.0,503.0,278.0,10183.0,3294.0,378.0,82.0,228.0,20.0,324.0,205.0,147.0,161.0,146.0,985.0,5349.0,209.0,3848.0,1395.0,68.0,1058.0,132.0,7695.0,477.0,2184.0,889.0,46.0,53.0,2597.0,1226.0,717.0,4325.0,882.0,72.0,215.0
g__Cryptobacterium,6.0,2.0,15.0,3.0,14.0,0.0,2.0,201.0,3.0,2.0,3.0,2.0,23.0,2.0,0.0,0.0,23.0,1.0,4.0,3.0,2.0,0.0,6.0,2.0,37.0,0.0,5.0,0.0,26.0,51.0,0.0,9.0,2.0,3.0,3.0,0.0,28.0,0.0,0.0,9.0,43.0,0.0,12.0,30.0,21.0,2.0,11.0,55.0,21.0,18.0,2.0,13.0,4.0,56.0,13.0,0.0,0.0,4.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,44.0,2.0,0.0,12.0,0.0,8.0,6.0,12.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,38.0,4.0,30.0,0.0,11.0,0.0,0.0,4.0,251.0,2.0,3.0,2.0,3.0,0.0
g__Cupriavidus,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,14.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
g__Dechloromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
g__Defluviitaleaceae_UCG_011,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,31.0,17.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,56.0,0.0,0.0,8.0,0.0,3.0,7.0,0.0,0.0,3.0,4.0,6.0,16.0,2.0,107.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
g__Denitratisoma,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Desulfobulbus,0.0,196.0,0.0,0.0,5.0,5.0,0.0,0.0,32.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,137.0,18.0,0.0,3.0,3.0,0.0,9.0,61.0,0.0,11.0,0.0,298.0,0.0,4.0,143.0,30.0,0.0,429.0,3.0,9.0,5.0,284.0,6.0,310.0,0.0,129.0,19.0,35.0,0.0,44.0,0.0,9.0,0.0,3.0,0.0,104.0,73.0,258.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,136.0,5.0,7.0,0.0,288.0,41.0,0.0,0.0,0.0,10.0,31.0,0.0,33.0,0.0,56.0,12.0,62.0,0.0,0.0,5.0,2.0,32.0,24.0,13.0,2.0,6.0,0.0,0.0,0.0,5.0,35.0,2.0,0.0
g__Desulfomicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Desulfovibrio,2.0,295.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,3.0,0.0,18.0,4.0,41.0,0.0,0.0,0.0,10.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,33.0,4.0,167.0,178.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,407.0,0.0,0.0,0.0,0.0,2.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,23.0,2.0,3291.0,0.0,37.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,0.0,3.0,0.0,0.0,2.0,38.0,3.0,2.0,3.0,2.0,6.0,13.0,0.0
g__Dialister,113.0,1702.0,156.0,51.0,49.0,72.0,4359.0,13898.0,357.0,243.0,221.0,186.0,188.0,36.0,248.0,11.0,88.0,53.0,1347.0,79.0,913.0,869.0,96.0,69.0,106.0,49.0,86.0,903.0,1372.0,256.0,84.0,524.0,1144.0,538.0,80.0,634.0,272.0,25.0,1159.0,116.0,62.0,170.0,73.0,3325.0,1061.0,761.0,906.0,272.0,2079.0,99.0,477.0,413.0,22.0,13.0,50.0,68.0,115.0,844.0,216.0,186.0,72.0,94.0,5.0,178.0,392.0,56.0,40.0,127.0,616.0,89.0,353.0,69.0,2390.0,117.0,1084.0,37.0,190.0,326.0,207.0,47.0,86.0,123.0,371.0,328.0,490.0,32.0,313.0,3187.0,38.0,1631.0,107.0,770.0,514.0,1180.0,162.0,8195.0,166.0,200.0,64.0,315.0,18.0
g__Duganella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Eggerthia,0.0,0.0,0.0,5.0,0.0,0.0,1249.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,25.0,0.0,4.0,26.0,0.0,0.0,0.0,11.0,0.0,89.0,32.0,14.0,0.0,0.0,2.0,3.0,0.0,0.0,15.0,6.0,2.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,39.0,0.0,0.0,3.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,19.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
g__Eikenella,57.0,1152.0,15.0,7.0,11.0,115.0,4.0,4.0,368.0,25.0,44.0,53.0,51.0,14.0,68.0,0.0,2.0,19.0,25.0,11.0,29.0,184.0,17.0,139.0,23.0,18.0,136.0,28.0,37.0,12.0,55.0,3.0,335.0,52.0,113.0,413.0,64.0,77.0,172.0,47.0,32.0,16.0,99.0,453.0,7.0,388.0,15.0,29.0,440.0,83.0,1194.0,10.0,11.0,3.0,270.0,41.0,63.0,104.0,71.0,14.0,628.0,44.0,1.0,76.0,246.0,5.0,9.0,46.0,120.0,45.0,150.0,11.0,276.0,101.0,4.0,12.0,76.0,35.0,66.0,5.0,204.0,387.0,51.0,67.0,48.0,40.0,130.0,223.0,37.0,22.0,190.0,139.0,8.0,11.0,21.0,60.0,46.0,391.0,17.0,35.0,20.0
g__Enhydrobacter,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
g__Erysipelotrichaceae_UCG_006,2.0,25.0,8.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,12.0,16.0,7.0,63.0,20.0,6.0,0.0,2.0,0.0,0.0,5.0,33.0,4.0,0.0,0.0,0.0,2.0,3.0,6.0,7.0,2.0,4.0,3.0,0.0,5.0,0.0,0.0,19.0,4.0,70.0,6.0,0.0,2.0,19.0,6.0,0.0,0.0,2.0,3.0,0.0,19.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,8.0,0.0,6.0,4.0,1.0,0.0,3.0,6.0,16.0,0.0,0.0,0.0,51.0,4.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0
g__Escherichia_Shigella,0.0,0.0,7.0,0.0,0.0,3.0,4.0,5.0,2.0,14.0,0.0,0.0,0.0,0.0,33.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,9.0,7.0,19.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,2.0,0.0,4.0,0.0,7.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,63.0,14.0,2.0,0.0,5.0,10.0,0.0,17.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,9.0,13.0,11.0,3.0,0.0,14.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,8.0,0.0
g__Eubacterium_brachy_group,9.0,94.0,4.0,7.0,21.0,10.0,356.0,24.0,42.0,13.0,40.0,118.0,6.0,53.0,10.0,6.0,0.0,6.0,86.0,20.0,56.0,57.0,69.0,4.0,8.0,7.0,25.0,73.0,43.0,52.0,22.0,7.0,162.0,10.0,54.0,58.0,119.0,58.0,70.0,13.0,10.0,35.0,15.0,21.0,55.0,25.0,242.0,40.0,38.0,17.0,21.0,39.0,1.0,0.0,8.0,27.0,51.0,43.0,30.0,2.0,0.0,24.0,4.0,2.0,12.0,8.0,29.0,91.0,261.0,26.0,24.0,9.0,22.0,99.0,0.0,19.0,14.0,7.0,35.0,61.0,27.0,14.0,18.0,58.0,85.0,19.0,61.0,351.0,5.0,18.0,159.0,37.0,257.0,18.0,0.0,60.0,57.0,10.0,52.0,10.0,2.0
g__Eubacterium_nodatum_group,44.0,84.0,18.0,27.0,95.0,8.0,330.0,24.0,2.0,6.0,12.0,72.0,29.0,117.0,5.0,0.0,8.0,109.0,80.0,140.0,25.0,92.0,35.0,175.0,170.0,13.0,0.0,51.0,50.0,78.0,72.0,0.0,133.0,68.0,35.0,27.0,34.0,23.0,64.0,10.0,42.0,91.0,2.0,6.0,15.0,11.0,120.0,5.0,23.0,23.0,14.0,12.0,4.0,0.0,38.0,98.0,49.0,18.0,11.0,74.0,18.0,23.0,0.0,121.0,7.0,7.0,51.0,61.0,104.0,4.0,3.0,32.0,18.0,97.0,85.0,5.0,229.0,30.0,105.0,77.0,5.0,7.0,111.0,41.0,159.0,17.0,46.0,89.0,4.0,68.0,27.0,18.0,7.0,1.0,7.0,7.0,40.0,6.0,79.0,17.0,55.0
g__Eubacterium_saphenum_group,0.0,75.0,0.0,0.0,7.0,3.0,0.0,0.0,22.0,2.0,85.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,9.0,2.0,2.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,82.0,0.0,11.0,3.0,0.0,0.0,8.0,19.0,0.0,7.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,198.0,44.0,0.0,13.0,0.0,7.0,90.0,0.0,0.0,12.0,0.0,0.0,14.0,2.0,0.0,47.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,89.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0
g__Eubacterium_yurii_group,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,21.0,10.0,0.0,3.0,318.0,0.0,4.0,2.0,25.0,0.0,0.0,0.0,0.0,53.0,2.0,11.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,272.0,0.0,2.0,11.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
g__F0058,102.0,457.0,8.0,89.0,25.0,17.0,3.0,161.0,58.0,144.0,42.0,129.0,7.0,433.0,35.0,4.0,19.0,80.0,6.0,9.0,190.0,535.0,32.0,228.0,7.0,12.0,80.0,79.0,695.0,126.0,104.0,181.0,226.0,56.0,62.0,389.0,151.0,196.0,3599.0,3.0,195.0,51.0,879.0,197.0,341.0,2084.0,344.0,197.0,78.0,71.0,1312.0,206.0,393.0,0.0,17.0,50.0,400.0,40.0,851.0,117.0,531.0,122.0,4.0,201.0,1885.0,196.0,12.0,118.0,896.0,32.0,24.0,71.0,21.0,153.0,9.0,20.0,134.0,122.0,352.0,65.0,179.0,529.0,73.0,161.0,78.0,52.0,58.0,2402.0,9.0,379.0,142.0,288.0,612.0,45.0,0.0,381.0,100.0,8.0,63.0,235.0,22.0
g__F0332,131.0,377.0,21.0,29.0,16.0,1988.0,167.0,21.0,1363.0,4068.0,43.0,131.0,137.0,39.0,17.0,7.0,20.0,128.0,271.0,48.0,1164.0,122.0,51.0,229.0,29.0,767.0,2052.0,3864.0,449.0,37.0,33.0,3912.0,622.0,8.0,80.0,1034.0,35.0,2866.0,417.0,8535.0,10.0,49.0,26.0,5.0,122.0,1168.0,100.0,47.0,10.0,55.0,260.0,206.0,3.0,3.0,1296.0,61.0,118.0,682.0,870.0,33.0,161.0,1977.0,9.0,8.0,324.0,88.0,25.0,306.0,100.0,232.0,1355.0,283.0,118.0,163.0,5.0,451.0,86.0,130.0,48.0,8.0,874.0,3047.0,61.0,1446.0,155.0,11.0,121.0,62.0,1013.0,36.0,914.0,54.0,14.0,5.0,10.0,17.0,151.0,8457.0,188.0,655.0,49.0
g__F082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
