,SRR32936402,SRR32936389,SRR32938709,SRR32936396,SRR32936412,SRR32938731,SRR32938711,SRR32938723,SRR32938694,SRR32938705,SRR32936377,SRR32936401,SRR32936410,SRR32936379,SRR32938685,SRR32936376,SRR32938686,SRR32936420,SRR32936403,SRR32936388,SRR32938688,SRR32936422,SRR32936405,SRR32936390,SRR32936421,SRR32938721,SRR32938712,SRR32938684,SRR32938702,SRR32936383,SRR32936417,SRR32938693,SRR32938725,SRR32936415,SRR32936406,SRR32938730,SRR32936385,SRR32938728,SRR32938733,SRR32938713,SRR32936394,SRR32936416,SRR32938720,SRR32938704,SRR32938717,SRR32938722,SRR32936381,SRR32936408,SRR32936395,SRR32936407,SRR32938690,SRR32936384,SRR32938703,SRR32938734,SRR32938729,SRR32936414,SRR32936423,SRR32938707,SRR32938708,SRR32936393,SRR32938699,SRR32938689,SRR32938732,SRR32936382,SRR32938724,SRR32938718,SRR32936404,SRR32938687,SRR32936378,SRR32938715,SRR32938696,SRR32936409,SRR32938698,SRR32936386,SRR32936419,SRR32938706,SRR32936391,SRR32938701,SRR32936424,SRR32936418,SRR32938726,SRR32938710,SRR32936413,SRR32938697,SRR32936380,SRR32938714,SRR32938692,SRR32938691,SRR32938716,SRR32936392,SRR32938695,SRR32936387,SRR32938727,SRR32936398,SRR32936425,SRR32936411,SRR32936397,SRR32938719,SRR32936399,SRR32938700,SRR32936400
g__Bergeyella,393.0,1027.0,121.0,197.0,198.0,182.0,94.0,7.0,700.0,240.0,165.0,678.0,284.0,204.0,168.0,228.0,77.0,55.0,993.0,57.0,1085.0,315.0,421.0,499.0,128.0,49.0,519.0,9.0,248.0,170.0,381.0,80.0,129.0,460.0,613.0,1157.0,290.0,41.0,510.0,481.0,3.0,366.0,239.0,176.0,68.0,1900.0,770.0,255.0,306.0,1040.0,439.0,55.0,3.0,8.0,688.0,517.0,205.0,49.0,220.0,332.0,409.0,279.0,159.0,233.0,2016.0,1439.0,43.0,359.0,343.0,372.0,312.0,471.0,325.0,519.0,14.0,209.0,702.0,176.0,134.0,277.0,214.0,2551.0,98.0,177.0,166.0,28.0,116.0,187.0,1370.0,463.0,651.0,145.0,16.0,11.0,211.0,90.0,326.0,350.0,160.0,423.0,46.0
g__Bifidobacterium,7.0,46.0,2591.0,30.0,267.0,5.0,38.0,15630.0,30.0,69.0,10.0,2.0,292.0,70.0,0.0,223.0,105.0,426.0,87.0,149.0,79.0,12.0,17.0,25.0,58.0,10.0,66.0,23.0,338.0,33.0,4.0,189.0,3.0,73.0,59.0,79.0,72.0,91.0,2076.0,24.0,56.0,0.0,210.0,472.0,317.0,342.0,96.0,444.0,541.0,255.0,12.0,836.0,6.0,2534.0,13.0,47.0,28.0,163.0,23.0,16.0,18.0,46.0,64.0,2.0,14.0,8.0,13.0,33.0,442.0,50.0,80.0,212.0,7.0,3.0,32.0,27.0,41.0,111.0,79.0,8.0,7.0,3.0,17.0,38.0,12.0,15.0,11.0,144.0,15.0,131.0,7.0,220.0,0.0,22.0,1317.0,5295.0,106.0,123.0,6.0,431.0,5.0
g__Bilophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Brachymonas,0.0,0.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,12.0,99.0,0.0,0.0,0.0,0.0,37.0,18.0,5.0,2.0,2.0,0.0,6.0,0.0,18.0,7.0,0.0,0.0,5.0,20.0,37.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,3.0,11.0,0.0,0.0,2.0,19.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,2.0,3.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
g__Brevibacterium,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Bulleidia,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,59.0,0.0,13.0,193.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,176.0,15.0,0.0,3.0,0.0,2.0,0.0,17.0,0.0,34.0,0.0,0.0,0.0,23.0,0.0,0.0,123.0,8.0,23.0,0.0,0.0,2.0,0.0,102.0,92.0,35.0,546.0,40.0,181.0,5.0,20.0,39.0,0.0,3.0,0.0,43.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,36.0,20.0,98.0,0.0,23.0,0.0,0.0,23.0,0.0,10.0,0.0,3.0,0.0,56.0,0.0,27.0,18.0,2.0,0.0,57.0,0.0,211.0,0.0,0.0,41.0,60.0,323.0,0.0,0.0,0.0,23.0,2.0,15.0,0.0,0.0
g__Burkholderia,0.0,0.0,87.0,0.0,0.0,14.0,35.0,14.0,14.0,70.0,0.0,0.0,0.0,0.0,133.0,0.0,122.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,55.0,34.0,83.0,45.0,0.0,0.0,33.0,11.0,0.0,0.0,8.0,0.0,56.0,35.0,21.0,0.0,0.0,36.0,3.0,81.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,55.0,9.0,7.0,0.0,2.0,283.0,103.0,0.0,289.0,29.0,19.0,0.0,24.0,45.0,0.0,37.0,6.0,5.0,17.0,0.0,14.0,0.0,0.0,10.0,2.0,51.0,0.0,0.0,20.0,3.0,0.0,37.0,0.0,38.0,131.0,44.0,11.0,0.0,45.0,0.0,70.0,0.0,0.0,0.0,0.0,16.0,0.0,82.0,0.0
g__Butyrivibrio,143.0,14.0,234.0,330.0,193.0,2.0,9.0,65.0,2.0,4.0,55.0,360.0,61.0,3.0,63.0,3.0,1.0,553.0,1035.0,297.0,36.0,318.0,2.0,60.0,540.0,34.0,7.0,2.0,334.0,3.0,284.0,3.0,19.0,37.0,307.0,4.0,6.0,89.0,34.0,0.0,3.0,448.0,6.0,2.0,78.0,48.0,1005.0,1198.0,2.0,93.0,9.0,3.0,2.0,0.0,141.0,70.0,12.0,328.0,0.0,1395.0,0.0,2.0,2.0,282.0,9.0,22.0,343.0,138.0,92.0,7.0,3.0,269.0,2.0,60.0,3.0,10.0,27.0,175.0,283.0,3.0,5.0,1.0,292.0,57.0,5.0,35.0,0.0,4.0,2.0,1439.0,19.0,2.0,0.0,3445.0,4.0,3.0,79.0,8.0,93.0,8.0,507.0
g__Campylobacter,144.0,588.0,216.0,539.0,527.0,782.0,260.0,488.0,589.0,296.0,418.0,231.0,334.0,271.0,134.0,764.0,88.0,665.0,671.0,419.0,325.0,361.0,323.0,359.0,475.0,88.0,411.0,252.0,432.0,225.0,250.0,301.0,578.0,431.0,344.0,374.0,392.0,270.0,340.0,208.0,250.0,362.0,981.0,1004.0,48.0,438.0,535.0,144.0,545.0,156.0,621.0,210.0,110.0,88.0,830.0,262.0,225.0,1182.0,211.0,994.0,374.0,278.0,141.0,893.0,359.0,357.0,551.0,295.0,208.0,311.0,524.0,204.0,319.0,466.0,149.0,72.0,359.0,224.0,361.0,178.0,153.0,613.0,193.0,253.0,303.0,157.0,160.0,415.0,281.0,570.0,387.0,289.0,195.0,347.0,387.0,451.0,253.0,778.0,514.0,288.0,457.0
g__Candidatus_Saccharimonas,484.0,369.0,163.0,843.0,470.0,42.0,206.0,965.0,581.0,251.0,222.0,960.0,304.0,313.0,58.0,795.0,51.0,318.0,822.0,456.0,409.0,769.0,335.0,368.0,354.0,120.0,156.0,148.0,565.0,1020.0,625.0,45.0,95.0,683.0,464.0,166.0,1602.0,113.0,512.0,171.0,657.0,412.0,80.0,106.0,130.0,505.0,823.0,578.0,48.0,650.0,221.0,305.0,31.0,11.0,209.0,777.0,348.0,46.0,202.0,396.0,142.0,187.0,1963.0,124.0,468.0,42.0,1217.0,307.0,263.0,615.0,804.0,337.0,163.0,578.0,90.0,103.0,857.0,126.0,635.0,130.0,56.0,215.0,731.0,140.0,581.0,140.0,196.0,448.0,257.0,504.0,179.0,79.0,32.0,29.0,344.0,1025.0,568.0,197.0,344.0,413.0,592.0
